;nome;total_reclamacoes;indice;total_clientes;satisfacao_geral;satisfacao_remuneracao_beneficios;segmento
209;U4CRYPTO INSTITUIÇÃO DE PAGAMENTO SA;20;0.0;0.0;;;
210;UBS;6;0.0;0.0;;;S4
211;VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.;11;0.0;435518.0;;;
212;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;48;0.0;252890.29;;;
213;VOITER;23;0.0;126257.0;;;
214;VOLKSWAGEN;631;13.62;188746.43;;;S3
215;VOLVO;9;0.0;3955.5;;;S4
216;VOTORANTIM;4529;10.64;10094684.43;4.25;3.95;S2
217;VR;7;0.0;51.33;;;S4
218;WESTERN UNION;42;0.0;0.57;;;S4
219;WILL;769;48.42;3496305.5;;;
220;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;404;13.11;903025.6;;;
221;WORLDPAY DO BRASIL INSTITUICAO DE PAGAMENTO LTDA;1;0.0;55.0;;;
222;XP;582;114.17;512625.5;;;
223;YAMAHA MOTOR;136;0.0;119102.29;;;S4
