Segmento	CNPJ	Nome
S4	15163587	DESENBAHIA AG FOMENTO BAHIA SA
S4	23511655	DEUTSCHE LEASING BRASIL AM S.A.
S4	62280490	DIBRAN DTVM LTDA
S4	33851064	DILLON S/A DTVM
S4	58158387	DIRECAO S.A. CFI
S4	10372647	DOMUS CH
S4	76641497	DOURADA CORRETORA
S4	62169875	EASYNVEST - TÍTULO CV SA
S4	89784367	EBADIVAL - E BAGGIO DTVM LTDA
S4	17441197	ECONOMISA
S4	28048783	ELITE - CCVM LTDA
S4	17305319	ESC RUY LAGE SOC CT LTDA
S4	5351887	ESTRELA MINEIRA
S4	34190991	EUROINVEST S/A CCTVM
S4	19086249	EXECUTIVE CC LTDA.
S4	73302408	EXIM CC LTDA
S4	8673569	F D GOLD DTVM LTDA
S4	15581638	FACTA S.A. CFI
S4	32648370	FAIR CC S.A.
S4	53146221	FAMÍLIA PAULISTA
S4	33644196	FATOR - PRUDENCIAL
S4	10280601	FIDUCIAL DTVM LTDA
S4	411939	FINAMAX S.A. CFI
S4	91669747	FINANSINOS S.A. CFI
S4	329598	FOCO DTVM LTDA
S4	40353377	FOURTRADE COR. DE CAMBIO LTDA
S4	13673855	FRAM CAPITAL DTVM S.A.
S4	71677850	FRENTE CC LTDA.
S4	18684408	FUTURAINVEST DTVM
S4	7253654	GAVEA DTVM LTDA
S4	11760553	GAZINCRED S.A. SCFI
S4	10749264	GDC PART SERV FIDUC DTVM LTDA
S4	92858380	GERAL CCVM LTDA
S4	10853017	GET MONEY CC LTDA
S4	21040668	GLOBAL EXCHANGE BR SOC. CC LTDA
S4	7631026	GOLCRED S/A - CFI
S4	23010182	GOOD CC LTDA
S4	65982589	GRACO C.C. S.A.
S4	33918160	GRADUAL CCTVM S.A.
S4	6339468	GRAZZIOTIN FINANCIADORA SA CFI
S4	24074692	GUITTA CC LTDA
